depth         color          imu
73865277  11182  0
266954  277887  249764
300324  311225  282563
300324  311225  282563
333693  344563  315341
367062  377901  348084
367062  377901  348084
400431  411239  380847
433801  444577  413562
433801  444577  413562
467170  477916  446358
500539  511254  483318
533908  544592  511906
533908  544592  511906
567278  577930  544677
567278  577930  544677
600647  611268  581575
634016  644606  614327
634016  644606  614327
667385  677944  647098
700755  711282  679883
734124  744621  712637
734124  744621  712637
767493  777959  745454
800862  811297  786306
800862  811297  786306
834232  844635  815036
867601  877973  847781
867601  877973  847781
900970  911311  880539
934339  944649  913765
934339  944649  913765
967709  977987  946106
1001078  1011326  978805
1001078  1011326  978805
1034447  1044664  1015683
1067816  1078002  1048454
1101186  1111340  1081228
1101186  1111340  1081228
1134555  1144678  1114003
1167924  1178016  1146801
1167924  1178016  1146801
1201293  1211354  1179507
1234663  1244692  1212265
1234663  1244692  1212265
1268032  1278031  1253238
1301401  1311369  1286015
1334770  1344707  1318752
1334770  1344707  1318752
1368140  1378045  1351590
1401509  1411383  1384308
1401509  1411383  1384308
1434878  1444721  1417053
1468247  1478059  1449858
1468247  1478059  1449858
1501617  1511397  1482564
1534986  1544736  1515375
1534986  1544736  1515375
1568355  1578074  1548139
1601724  1611412  1580952
1635094  1644750  1613676
1635094  1644750  1613676
1668463  1678088  1646456
1701832  1711426  1683334
1701832  1711426  1683334
1735201  1744764  1716070
1768571  1778102  1748846
1768571  1778102  1748846
1801940  1811441  1781587
1835309  1844779  1814422
1868678  1878117  1847228
1868678  1878117  1847228
1902048  1911455  1888080
1935417  1944793  1912706
1935417  1944793  1912706
1968786  1978131  1953605
2002155  2011469  1986386
2002155  2011469  1986386
2035525  2044807  2015085
2068894  2078146  2047835
2102263  2111484  2080602
2102263  2111484  2080602
2135632  2144822  2113328
2169002  2178160  2150175
2169002  2178160  2150175
2202371  2211498  2183003
2235740  2244836  2215784
2235740  2244836  2215784
2269109  2278174  2248533
2302479  2311512  2281366
2302479  2311512  2281366
2335848  2344851  2314011
2369217  2378189  2346861
2369217  2378189  2346861
2402586  2411527  2379646
2435956  2444865  2420549
2435956  2444865  2420549
2469325  2478203  2453338
2502694  2511541  2486090
2536063  2544879  2518828
2536063  2544879  2518828
2569433  2578217  2551607
2602802  2611556  2584351
2602802  2611556  2584351
2636171  2644894  2617126
2669540  2678232  2649892
2702910  2711570  2682621
2702910  2711570  2682621
2736279  2744908  2715414
2769648  2778246  2748224
2769648  2778246  2748224
2803017  2811584  2781015
2836387  2844922  2813740
2836387  2844922  2813740
2869756  2878261  2850591
2903125  2911599  2883341
2903125  2911599  2883341
2936494  2944937  2916131
2969864  2978275  2948921
2969864  2978275  2948921
3003233  3011613  2981695
3036602  3044951  3014499
3069971  3078289  3047296
3069971  3078289  3047296
3103341  3111627  3080019
3136710  3144966  3116825
3170079  3178304  3149600
3170079  3178304  3149600
3203448  3211642  3182296
3236818  3244980  3215149
3236818  3244980  3215149
3270187  3278318  3247838
3303556  3311656  3280653
3303556  3311656  3280653
3336925  3344994  3313385
3370295  3378332  3346186
3370295  3378332  3346186
3403664  3411671  3383012
3437033  3445009  3415770
3470402  3478347  3448561
3470402  3478347  3448561
3503772  3511685  3489512
3537141  3545023  3522270
